precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
171.000€;Piso en venta con 55 m2, 2 dormitorios en Santurtzi;https://rd.clk.thribee.com/id.1u1mYlv5B4/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.216603trovit-web-6f6984d597-rcn9966a3f3f039dc1/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Bizkaia/type.1/page.11/cookieid.102120466a3f3f0399a03.30847317/pos.1/;48980, Santurtzi, Provincia de Bizkaia;2  habitaciones;1  baños;55  m²;Piso, con 55 m2, 2 dorm, 1 baños. Se vende piso. Se vende piso en mamariga con ascensor. Consta de 2 habitaciones, sala, cocina y baño, buen esta...;Hace 7 días;Tucasa;Bizkaia
360.000€;Piso, Barakaldo;https://rd.clk.thribee.com/id.q1s41Z1Y1yD1_/origin.1/section.232/section_type.2/country.es/vertical.homes/iuid.216603trovit-web-6f6984d597-rcn9966a3f3f039dc1/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Bizkaia/type.1/page.11/cookieid.102120466a3f3f0399a03.30847317/pos.1/;Bagatza, Barakaldo, Provincia de Bizkaia;3 habitaciones;2 baños;100 m²;¡A estrenar! Precioso piso totalmente reformado en una magnífica zona, rodeado de zonas verdes y a su vez perfecamente comunicado y cercano al me...;Hace 1 día;Idealista;Bizkaia
249.000€;Piso, Portugalete;https://rd.clk.thribee.com/id.61U1f1X1LK121K/origin.1/section.232/section_type.2/country.es/vertical.homes/iuid.216603trovit-web-6f6984d597-rcn9966a3f3f039dc1/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Bizkaia/type.1/page.11/cookieid.102120466a3f3f0399a03.30847317/pos.2/;Portugalete, Provincia de Bizkaia;2 habitaciones;1 baños;84 m²;Se pone a la venta estupenda vivienda en el mismo centro de Portugalete. El piso está para entrar a vivir, y dispone de ascensor. Es un piso tota...;Hace 1 día;Idealista;Bizkaia
348.000€;Piso en venta con 105 m2, 2 dormitorios en Barakaldo;https://rd.clk.thribee.com/id.1N1ePNwy1L0/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.216603trovit-web-6f6984d597-rcn9966a3f3f039dc1/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Bizkaia/type.1/page.11/cookieid.102120466a3f3f0399a03.30847317/pos.2/;48901, Barakaldo, Provincia de Bizkaia;2  habitaciones;2  baños;105  m²;Piso, con 105 m2, 2 dorm, 2 baños, 1 plaza(s) de garaje, 1 armario(s) empotrado(s), cocina totalmente equipada, con trastero. ¡Exclusiva! INMOBIL...;Hace 7 días;Tucasa;Bizkaia
280.000€;3 dormitorio, Vizcaya Basque Country 1ES79203-;https://rd.clk.thribee.com/id.1u1o1I19Z1H111O/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.216603trovit-web-6f6984d597-rcn9966a3f3f039dc1/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Bizkaia/type.1/page.11/cookieid.102120466a3f3f0399a03.30847317/pos.3/;Provincia de Bizkaia;3  habitaciones;2  baños;-;TRV79203---. Se vende piso en Artazagane, zona en expansiÃ³n, residencial, muy tranquila y rodeada de zonas verdes a la vez que bien comunicada p...;Hace 7 días;Listanza;Bizkaia
440.000€;Piso en venta con 128 m2, 4 dormitorios en Abando (barrutia). Bilbao (Capital);https://rd.clk.thribee.com/id.56W1J1k1yT3/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.216603trovit-web-6f6984d597-rcn9966a3f3f039dc1/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Bizkaia/type.1/page.11/cookieid.102120466a3f3f0399a03.30847317/pos.4/;48014, Abando, Bilbao, Provincia de Bizkaia;4  habitaciones;2  baños;128  m²;Piso, con 128 m2, Necesita Reformas, 4 dorm, 2 baños, 3 armario(s) empotrado(s), cocina Independiente. Amueblada con elec amueblado, 3 terraza(s)...;Hace 7 días;Tucasa;Bizkaia
280.000€;Piso en venta con 79 m2, 3 dormitorios en Leioa;https://rd.clk.thribee.com/id.QZp1GSC19r/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.216603trovit-web-6f6984d597-rcn9966a3f3f039dc1/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Bizkaia/type.1/page.11/cookieid.102120466a3f3f0399a03.30847317/pos.5/;48940, Leioa, Provincia de Bizkaia;3  habitaciones;2  baños;79  m²;Piso, con 79 m2, 3 dorm, 2 baños. Se vende piso en Artazagane, zona en expansión, residencial, muy tranquila y rodeada de zonas verdes a la vez q...;Hace 7 días;Tucasa;Bizkaia
190.000€;Piso en Venta en Centro;https://rd.clk.thribee.com/id.4TjQ1n-1Xm/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.10989trovit-web-6f6984d597-lg6v466a3f3f475b25/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Bizkaia/type.1/page.10/cookieid.102120466a3f3f4757ea4.09446211/pos.1/;48901, Barakaldo, Provincia de Bizkaia;2  habitaciones;1  baños;75  m²;Estudio sani 2020 s.l vende esta preciosa vivienda en el corazón de barakaldo. Al lado de todo tipo de comercios, farmacias, supermercados. Y tod...;Hace 7 días;Fotocasa;Bizkaia
290.000€;Piso, Portugalete;https://rd.clk.thribee.com/id.iHa1T_1Ih1Q/origin.1/section.232/section_type.2/country.es/vertical.homes/iuid.10989trovit-web-6f6984d597-lg6v466a3f3f475b25/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Bizkaia/type.1/page.10/cookieid.102120466a3f3f4757ea4.09446211/pos.1/;Portugalete, Provincia de Bizkaia;3 habitaciones;2 baños;85 m²;Gestión Inmobiliaria El Ojillo vende piso muy luminoso en Portugalete, zona de AZETA, con espectaculares y panorámicas vistas a la ría, superfici...;Hace 1 día;Idealista;Bizkaia
685.000€;Piso, Campo Volantín-Castaños, Bilbao;https://rd.clk.thribee.com/id.1A101Pv1v1o_1h/origin.1/section.232/section_type.2/country.es/vertical.homes/iuid.10989trovit-web-6f6984d597-lg6v466a3f3f475b25/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Bizkaia/type.1/page.10/cookieid.102120466a3f3f4757ea4.09446211/pos.2/;Castaños, Bilbao, Provincia de Bizkaia;5 habitaciones;3 baños;168 m²;En el Campo Volantín junto al puente Zubi Zuri, se encuentra esta magnífica vivienda en un edificio representativo. Con orientación al sur oeste,...;Hace 1 día;Idealista;Bizkaia
