precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
99.000€;Piso en Venta en Hazas de Cesto;https://rd.clk.thribee.com/id.1b1A1E1HW1L1Q1M/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15346trovit-web-7f7dc96976-wlj2z6688143a72e23/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20cantabria%20provincia/type.1/page.35/cookieid.10201116688143a5bcfc3.77049273/pos.1/;39470, Hazas de Cesto, Provincia de Cantabria;1  habitaciones;1  baños;40  m²;¡Oportunidad en Beranga! Desde Inmobiliaria Mi Villa les presentamos este bonito piso de 50m2 distribuido en una luminosa habitación, un...;Hace +30 días;Indomio;Cantabria
165.000€;Piso Venta, Santa María de Cayón;https://rd.clk.thribee.com/id.1c-_1TCWNU/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15346trovit-web-7f7dc96976-wlj2z6688143a72e23/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20cantabria%20provincia/type.1/page.35/cookieid.10201116688143a5bcfc3.77049273/pos.2/;39694, Santa María de Cayón, Provincia de Cantabria;3  habitaciones;2  baños;86  m²;Se vende piso en Santa María de Cayón tercera planta, en calle santa maria de cayon con una superficie de 80 metros, mobiliario: a consultar...;Hace +30 días;Pisos;Cantabria
128.000€;Piso Venta Ramales de la Victoria, Gibaja;https://rd.clk.thribee.com/id.1fLzW1K_51C/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15346trovit-web-7f7dc96976-wlj2z6688143a72e23/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20cantabria%20provincia/type.1/page.35/cookieid.10201116688143a5bcfc3.77049273/pos.3/;39809, Ramales de la Victoria, Provincia de Cantabria;3  habitaciones;2  baños;86  m²;Se vende piso en segunda planta, de 3 habitaciones con 2 baños, con garaje, mobiliario: a consultar, ubicado en Ramales de la Victor, en calle...;Hace +30 días;Pisos;Cantabria
94.000€;Piso Venta Piélagos, Quijano de Piélagos;https://rd.clk.thribee.com/id.1iQlB12z1rq/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15346trovit-web-7f7dc96976-wlj2z6688143a72e23/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20cantabria%20provincia/type.1/page.35/cookieid.10201116688143a5bcfc3.77049273/pos.4/;39477, Piélagos, Provincia de Cantabria;3  habitaciones;2  baños;100  m²;Venta de piso grande, primera planta, situado en Piélagos, en calle barrio parayo estado: listo para entrar, 3 habitaciones, 2 baños, entre 10...;Hace +30 días;Pisos;Cantabria
175.000€;Piso Venta Santander, Peñacastillo-Nueva Montaña;https://rd.clk.thribee.com/id.1lT1SZ1T7e1a/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15346trovit-web-7f7dc96976-wlj2z6688143a72e23/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20cantabria%20provincia/type.1/page.35/cookieid.10201116688143a5bcfc3.77049273/pos.5/;39011, Nueva Montaña, Santander, Provincia de Cantabria;2  habitaciones;2  baños;80  m²;Piso planta 3, con superficie total 80 m2, 2 habitaciones, 2 baños completos, ascensor, pertenece a promoción Edificio Victoria...;Hace +30 días;Pisos;Cantabria
123.000€;Piso en Venta en Noja;https://rd.clk.thribee.com/id.1li01S1t1ND1K/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15346trovit-web-7f7dc96976-wlj2z6688143a72e23/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20cantabria%20provincia/type.1/page.35/cookieid.10201116688143a5bcfc3.77049273/pos.6/;39180, Noja, Provincia de Cantabria;2  habitaciones;1  baños;58  m²;Piso de unos 58 m2 de superficie distribuidos en un salón-comedor, cocina con acceso al balcón, dos habitaciones y un baño. Vistas al mar y...;Hace +30 días;Indomio;Cantabria
260.000€;Piso Venta Noja, Centro;https://rd.clk.thribee.com/id.1n1y1S1R61YZp/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15346trovit-web-7f7dc96976-wlj2z6688143a72e23/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20cantabria%20provincia/type.1/page.35/cookieid.10201116688143a5bcfc3.77049273/pos.7/;39180, Noja, Provincia de Cantabria;4  habitaciones;2  baños;115  m²;GESTIONA INMOBILIARIA le ofrece piso en Noja de 4 dormitorios, con gran terraza y grandes dimensiones, perfecto para vivienda habitual o como...;Hace 17 días;Pisos;Cantabria
139.000€;Piso Venta Piélagos, Boo de Piélagos;https://rd.clk.thribee.com/id.1otx1Y15zB15/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15346trovit-web-7f7dc96976-wlj2z6688143a72e23/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20cantabria%20provincia/type.1/page.35/cookieid.10201116688143a5bcfc3.77049273/pos.8/;39612, Boo de Piélagos, Piélagos, Provincia de Cantabria;3  habitaciones;2  baños;98  m²;Se vende piso de 3 habitaciones con 2 baños, con garaje, tiene ascensor, con trastero, con balcón, mobiliario: a consultar, ubicado en...;Hace +1 año;Pisos;Cantabria
89.000€;Piso Venta Val de San Vicente, Unquera;https://rd.clk.thribee.com/id.1ozIO1V1_n1B/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15346trovit-web-7f7dc96976-wlj2z6688143a72e23/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20cantabria%20provincia/type.1/page.35/cookieid.10201116688143a5bcfc3.77049273/pos.9/;39560, Val de San Vicente, Provincia de Cantabria;2  habitaciones;1  baños;101  m²;Se vende piso de 2 habitaciones con 1 baño, con trastero, mobiliario: a consultar, ubicado en Val de San Vicente, en calle cl remigio noriega...;Hace 17 días;Pisos;Cantabria
115.000€;Piso Venta Camargo, Muriedas;https://rd.clk.thribee.com/id.1p1r19LPh1Wn/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.15346trovit-web-7f7dc96976-wlj2z6688143a72e23/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20cantabria%20provincia/type.1/page.35/cookieid.10201116688143a5bcfc3.77049273/pos.10/;39600, Maliaño, Camargo, Provincia de Cantabria;-;-;91  m²;Se vende piso en segunda planta, tiene ascensor, mobiliario: a consultar, ubicado en Camargo, en MALIAÑO CENTRO con una superficie de 83 metros...;Hace +1 año;Pisos;Cantabria
