precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
850.000€;Piso exclusivo de 175 m2 en venta en Granada, España;https://rd.clk.thribee.com/id.131N1Il1MPUQ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.1/;Provincia de Granada;3  habitaciones;3  baños;175  m²;...de Granada se encuentra a solo 20 km de distancia y el aeropuerto de Málaga a 140km, lo que añade comodidad a esta ubicación privilegiada...;Hace 29 días;LuxuryEstate;Granada
25.200€;Piso, Granada;https://rd.clk.thribee.com/id.T1j17CpF1xz/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.2/;Granada, Provincia de Granada;2  habitaciones;1  baños;69  m²;...tercera planta de un edificio compuesto por cuatro plantas sobre rasante y una planta sótano en el municipio de Granada, provincia de Granada...;Hace 5 días;Idealista;Granada
70.000€;Piso, Polígono Cartuja, Granada;https://rd.clk.thribee.com/id.1tKf1WY81kk/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.3/;Granada, Provincia de Granada;3  habitaciones;1  baños;79  m²;Vivienda piso en primera planta situado en un edificio en el municipio de Granada, provincia de Granada. Construido con las vistas hacia un...;Hace 5 días;Idealista;Granada
39.000€;Piso, Polígono Cartuja, Granada;https://rd.clk.thribee.com/id.1a1v121H171c1OS/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.4/;Granada, Provincia de Granada;2  habitaciones;1  baños;75  m²;...servicios, de paradas de autobús, colegios y parques. A 2 km de Granada centro. Buena conexión con carreteras GR-30 y Circunvalación de Granada...;Hace 5 días;Idealista;Granada
84.000€;Piso, Parque Nueva Granada;https://rd.clk.thribee.com/id.1ah1e101Q1L51q/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.5/;Granada, Provincia de Granada;2  habitaciones;1  baños;70  m²;¡Fantástico piso en Parque Nueva Granada! El piso ubicado en la calle Rosalía De Castro. Consta de 2 habitaciones espaciosas con armario...;Hace 5 días;Idealista;Granada
34.000€;Piso, La Paz, Granada;https://rd.clk.thribee.com/id.14111C31o1D161R/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.6/;Granada, Provincia de Granada;2  habitaciones;1  baños;90  m²;Vivienda piso para reformar en cuarta planta de un edificio compuesto de cuatro plantas sobre rasante en la Barriada de La Paz, en la ciudad...;Hace 5 días;Idealista;Granada
90.000€;Piso, Parque Nueva Granada;https://rd.clk.thribee.com/id.1S1qs131w19D1P/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.7/;Granada, Provincia de Granada;3  habitaciones;1  baños;80  m²;Acogedor piso situado en parque nueva granada, 3ª planta y ultima (APROBADO COLOCACION DE ASCENSOR) se distribuye en 2 dormitorios...;Hace 5 días;Idealista;Granada
65.000€;Piso, Polígono Cartuja, Granada;https://rd.clk.thribee.com/id.r2vBwM41u/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.8/;Granada, Provincia de Granada;3  habitaciones;1  baños;84  m²;¡Oportunidad única en la zona Norte de Granada! Presentamos este amplio piso en primera planta, perfecto para quienes buscan un hogar con...;Hace 3 días;Idealista;Granada
77.900€;Piso, Granada;https://rd.clk.thribee.com/id.1B-p1S1D1w1Uw/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.9/;Granada, Provincia de Granada;3  habitaciones;2  baños;86  m²;¡No dejes pasar esta oportunidad! Fantástico piso en venta en una cuarta planta, totalmente reformado y con todas las comodidades. Con una...;Hace 5 días;Idealista;Granada
60.500€;Piso, Polígono Cartuja, Granada;https://rd.clk.thribee.com/id.-1rc1y1V1a1N1Q/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.8054trovit-web-86bb757b58-5xxkf66818b7133680/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.1/cookieid.10205566818b711cd2f5.03605435/pos.10/;Granada, Provincia de Granada;3  habitaciones;1  baños;80  m²;¡Increíble oportunidad de adquirir una vivienda en la zona de Cartuja! Este fantástico piso se encuentra cerca de universidades, perfecto para...;Hace 3 días;Idealista;Granada
