precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
2.950.000€;Finca de 744 m2 en venta - Sevilla, Andalucía;https://rd.clk.thribee.com/id.TJzIh1j1i1H/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.1/;Provincia de Sevilla;-;7  baños;744  m²;...rurales de España que ofrece el refugio perfecto o un hotel boutique de lujo, idealmente ubicado a solo media hora de Ronda o Sevilla...;Hace +30 días;LuxuryEstate;Sevilla
595.000€;Piso exclusivo de 132 m2 en venta en Sevilla, España;https://rd.clk.thribee.com/id.1s21AH1rH1lJ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.2/;41001, Provincia de Sevilla;-;3  baños;132  m²;John Taylor presenta una propiedad única en el corazón del centro histórico de Sevilla a un paso del Museo de Bellas Artes. Se trata de un...;Hace +1 año;LuxuryEstate;Sevilla
57.000€;Piso, El Cuervo de Sevilla;https://rd.clk.thribee.com/id.RT1A1Hw1n1I3/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.3/;El Cuervo de Sevilla, Provincia de Sevilla;3  habitaciones;2  baños;105  m²;Se vende piso VPO, con 3 habitaciones, 2 baños, cocina y salón-comedor con terraza en venta en El Cuervo de Sevilla (Sevilla). Se encuentra en...;Hace 15 días;Idealista;Sevilla
114.910€;Piso, Su Eminencia - La Oliva, Sevilla;https://rd.clk.thribee.com/id.1o1T1MX1o1rN3/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.4/;La Oliva, Distrito Sur, Sevilla, Provincia de Sevilla;3  habitaciones;2  baños;78  m²;Piso en Sevilla Este piso esta situado en la zona de Las Letanías, en Avd La Paz (Sevilla). Zona en la que podremos disfrutar de todos los...;Hace 6 días;Idealista;Sevilla
299.900€;Piso, Puerta de la Carne - Judería, Sevilla;https://rd.clk.thribee.com/id.101851y_11b6/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.5/;Sevilla, Provincia de Sevilla;3  habitaciones;1  baños;86  m²;Piso con lincencia turistica y en explotación! El inmueble se encuentra en el maravilloso enclave del barrio de La Judería, singular por...;Hace 6 días;Idealista;Sevilla
160.000€;Piso, Su Eminencia - La Oliva, Sevilla;https://rd.clk.thribee.com/id.1l1f1ne1I1JM1L/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.6/;La Oliva, Distrito Sur, Sevilla, Provincia de Sevilla;4  habitaciones;2  baños;98  m²;Se vende piso en Sevilla, Avda de La Paz. Muy bien situado. El piso consta de 4 dormitorios y 2 baños, cocina y salón comedor. Si es ud...;Hace 6 días;Idealista;Sevilla
350.000€;Piso, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;https://rd.clk.thribee.com/id.MRl9171u18t/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.7/;Triana, Sevilla, Provincia de Sevilla;3  habitaciones;2  baños;83  m²;Piso en venta en la Ronda de Triana, una zona cotizada de Triana. Este inmueble se encuentra cercano a lugares emblemáticos como la Torre...;Hace 10 días;Idealista;Sevilla
247.000€;Piso, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;https://rd.clk.thribee.com/id.1F1s1D1M1W1Q1we/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.8/;Sevilla, Provincia de Sevilla;2  habitaciones;1  baños;90  m²;Os presentamos este piso situado en Sevilla. La vivienda se distribuye en dos habitaciones, salón-comedor, cocina, un baño y un balcón...;Hace 15 días;Idealista;Sevilla
100.000€;Piso, Rochelambert, Sevilla;https://rd.clk.thribee.com/id.1Q3n1p1ya1g14/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.9/;Rochelambert, Distrito Cerro-Amate, Sevilla, Provincia de Sevilla;2  habitaciones;1  baños;61  m²;Se vende piso en la barriada Cerro del Águila, Sevilla. Situado en la calle Coimbra, consta de 60 metros cuadrados en planta baja, con salida...;Hace 4 días;Idealista;Sevilla
700.000€;Piso, Plaza de la Gavidia-San Lorenzo, Sevilla;https://rd.clk.thribee.com/id.M1K1j1c1z1_01q/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.10/;San Lorenzo, Casco Antiguo, Sevilla, Provincia de Sevilla;3  habitaciones;3  baños;184  m²;¡Vive en el corazón de Sevilla! Este espectacular piso ubicado en el casco histórico te ofrece una experiencia única en una de las ciudades...;Hace 6 días;Idealista;Sevilla
493.500€;Piso, Felipe II - Bueno Monreal, Sevilla;https://rd.clk.thribee.com/id.N1h1KF1gs1Xe/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.11/;Sevilla, Provincia de Sevilla;4  habitaciones;2  baños;144  m²;¡Oportunidad única para adquirir tu piso ideal en una de las mejores zonas de Sevilla! Situado en la prestigiosa Plaza Vicente Aleixandre...;Hace 6 días;Idealista;Sevilla
289.000€;Piso, Encarnación-Las Setas, Sevilla;https://rd.clk.thribee.com/id.1lQv1lY1c1M6/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.12/;Sevilla, Provincia de Sevilla;1  habitaciones;1  baños;70  m²;GLOBAL REAL ESTATE, le ofrece este fantástico apartamento con licencia VFT, en pleno centro de Sevilla, en el entorno de Las Setas de la...;Hace 15 días;Idealista;Sevilla
228.000€;Piso, Santa Cruz - Alfalfa, Sevilla;https://rd.clk.thribee.com/id.1IA1FB1pK1Z14/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.13/;Santa Cruz, Casco Antiguo, Sevilla, Provincia de Sevilla;1  habitaciones;1  baños;57  m²;¡Oportunidad única en Sevilla! Este encantador apartamento en el corazón de la Alfalfa es perfecto tanto para inversión turística como para...;Hace 6 días;Idealista;Sevilla
345.000€;Piso, San Vicente, Sevilla;https://rd.clk.thribee.com/id.1h71q101g1416U/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.14/;San Vicente, Casco Antiguo, Sevilla, Provincia de Sevilla;2  habitaciones;1  baños;78  m²;Apartamento en venta ubicado en pleno centro de Sevilla, junto a los monumentos más emblemáticos de la ciudad. Muy cercana al Museo de Bellas...;Hace 10 días;Idealista;Sevilla
415.000€;Piso, Ramón de Carranza - Madre Rafols, Sevilla;https://rd.clk.thribee.com/id.P2zp41D21g/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.75139trovit-web-86bb757b58-rcnwt668184f88e033/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20sevilla%20provincia/type.1/page.1/cookieid.102055668184f87356e3.44353783/pos.15/;Sevilla, Provincia de Sevilla;4  habitaciones;2  baños;161  m²;Gran oportunidad de vivir en el piso de sus sueños en pleno barrio de los Remedios. Y si además, busca piso muy luminoso, ésta puede ser su...;Hace 10 días;Idealista;Sevilla
