
Balance de criminalidad. 2024 - 1er Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas
Indicadores de seguridad 2024 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-marzo 2023,enero-marzo 2024,Variación % 2024/2023,
ANDALUCÍA,
    I. CRIMINALIDAD CONVENCIONAL,79661.0,77809.0,-2.3,
    1. Homicidios dolosos y asesinatos consumados,22.0,27.0,22.7,
    2. Homicidios dolosos y asesinatos en grado tentativa,63.0,48.0,-23.8,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1072.0,1171.0,9.2,
    4. Secuestro,10.0,9.0,-10.0,
    5. Delitos contra la libertad sexual,716.0,694.0,-3.1,
    5.1.-Agresión sexual con penetración,128.0,119.0,-7.0,
    5.2.-Resto de delitos contra la libertad sexual,588.0,575.0,-2.2,
    6. Robos con violencia e intimidación,1750.0,1818.0,3.9,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4977.0,4785.0,-3.9,
    7.1.-Robos con fuerza en domicilios,3333.0,3297.0,-1.1,
    8. Hurtos,22998.0,21392.0,-7.0,
    9. Sustracciones de vehículos,1347.0,1526.0,13.3,
    10. Tráfico de drogas,1124.0,1047.0,-6.9,
    11. Resto de criminalidad convencional,45582.0,45292.0,-0.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),17745.0,21604.0,21.7,
    12.-Estafas informáticas,15705.0,19064.0,21.4,
    13.-Otros ciberdelitos,2040.0,2540.0,24.5,
    III. TOTAL INFRACCIONES PENALES,97406.0,99413.0,2.1,
Provincia de ALMERÍA,
    I. CRIMINALIDAD CONVENCIONAL,6556.0,6652.0,1.5,
    1. Homicidios dolosos y asesinatos consumados,2.0,6.0,200.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,7.0,1.0,-85.7,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,117.0,125.0,6.8,
    4. Secuestro,1.0,1.0,0.0,
    5. Delitos contra la libertad sexual,73.0,80.0,9.6,
    5.1.-Agresión sexual con penetración,13.0,19.0,46.2,
    5.2.-Resto de delitos contra la libertad sexual,60.0,61.0,1.7,
    6. Robos con violencia e intimidación,129.0,157.0,21.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,503.0,463.0,-8.0,
    7.1.-Robos con fuerza en domicilios,397.0,367.0,-7.6,
    8. Hurtos,1398.0,1463.0,4.6,
    9. Sustracciones de vehículos,89.0,82.0,-7.9,
    10. Tráfico de drogas,112.0,124.0,10.7,
    11. Resto de criminalidad convencional,4125.0,4150.0,0.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1013.0,1420.0,40.2,
    12.-Estafas informáticas,899.0,1260.0,40.2,
    13.-Otros ciberdelitos,114.0,160.0,40.4,
    III. TOTAL INFRACCIONES PENALES,7569.0,8072.0,6.6,
04003 Adra,
    I. CRIMINALIDAD CONVENCIONAL,232.0,225.0,-3.0,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
