
Balance de criminalidad. 2024 - 1er Trimestre - CCAA
Indicadores de seguridad 2024 - 1erTrimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-marzo 2023,enero-marzo 2024,Variación % 2024/2023,
TOTAL NACIONAL,
    I. CRIMINALIDAD CONVENCIONAL,480101.0,484467.0,0.9,
    1. Homicidios dolosos y asesinatos consumados,85.0,92.0,8.2,
    2. Homicidios dolosos y asesinatos en grado tentativa,275.0,266.0,-3.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,5687.0,6242.0,9.8,
    4. Secuestro,32.0,28.0,-12.5,
    5. Delitos contra la libertad sexual,4293.0,4568.0,6.4,
    5.1.-Agresión sexual con penetración,1020.0,1138.0,11.6,
    5.2.-Resto de delitos contra la libertad sexual,3273.0,3430.0,4.8,
    6. Robos con violencia e intimidación,15378.0,15020.0,-2.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,32094.0,30621.0,-4.6,
    7.1.-Robos con fuerza en domicilios,21608.0,20872.0,-3.4,
    8. Hurtos,163463.0,156967.0,-4.0,
    9. Sustracciones de vehículos,7845.0,8031.0,2.4,
    10. Tráfico de drogas,4927.0,5045.0,2.4,
    11. Resto de criminalidad convencional,246022.0,257587.0,4.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),107826.0,122428.0,13.5,
    12.-Estafas informáticas,96482.0,110268.0,14.3,
    13.-Otros ciberdelitos,11344.0,12160.0,7.2,
    III. TOTAL INFRACCIONES PENALES,587927.0,606895.0,3.2,
ANDALUCÍA,
    I. CRIMINALIDAD CONVENCIONAL,79661.0,77809.0,-2.3,
    1. Homicidios dolosos y asesinatos consumados,22.0,27.0,22.7,
    2. Homicidios dolosos y asesinatos en grado tentativa,63.0,48.0,-23.8,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1072.0,1171.0,9.2,
    4. Secuestro,10.0,9.0,-10.0,
    5. Delitos contra la libertad sexual,716.0,694.0,-3.1,
    5.1.-Agresión sexual con penetración,128.0,119.0,-7.0,
    5.2.-Resto de delitos contra la libertad sexual,588.0,575.0,-2.2,
    6. Robos con violencia e intimidación,1750.0,1818.0,3.9,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4977.0,4785.0,-3.9,
    7.1.-Robos con fuerza en domicilios,3333.0,3297.0,-1.1,
    8. Hurtos,22998.0,21392.0,-7.0,
    9. Sustracciones de vehículos,1347.0,1526.0,13.3,
    10. Tráfico de drogas,1124.0,1047.0,-6.9,
    11. Resto de criminalidad convencional,45582.0,45292.0,-0.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),17745.0,21604.0,21.7,
    12.-Estafas informáticas,15705.0,19064.0,21.4,
    13.-Otros ciberdelitos,2040.0,2540.0,24.5,
    III. TOTAL INFRACCIONES PENALES,97406.0,99413.0,2.1,
ARAGÓN,
    I. CRIMINALIDAD CONVENCIONAL,9183.0,9789.0,6.6,
    1. Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,11.0,5.0,-54.5,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,128.0,162.0,26.6,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,94.0,89.0,-5.3,
    5.1.-Agresión sexual con penetración,22.0,22.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,72.0,67.0,-6.9,
    6. Robos con violencia e intimidación,237.0,268.0,13.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,766.0,769.0,0.4,
    7.1.-Robos con fuerza en domicilios,530.0,573.0,8.1,
    8. Hurtos,2607.0,2821.0,8.2,
    9. Sustracciones de vehículos,95.0,86.0,-9.5,
    10. Tráfico de drogas,108.0,87.0,-19.4,
    11. Resto de criminalidad convencional,5134.0,5499.0,7.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3004.0,3152.0,4.9,
    12.-Estafas informáticas,2678.0,2845.0,6.2,
    13.-Otros ciberdelitos,326.0,307.0,-5.8,
    III. TOTAL INFRACCIONES PENALES,12187.0,12941.0,6.2,
ASTURIAS (PRINCIPADO DE),
    I. CRIMINALIDAD CONVENCIONAL,5857.0,6031.0,3.0,
    1. Homicidios dolosos y asesinatos consumados,2.0,1.0,-50.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,86.0,103.0,19.8,
    4. Secuestro,0.0,1.0,100.0,
    5. Delitos contra la libertad sexual,69.0,62.0,-10.1,
    5.1.-Agresión sexual con penetración,17.0,14.0,-17.6,
    5.2.-Resto de delitos contra la libertad sexual,52.0,48.0,-7.7,
    6. Robos con violencia e intimidación,79.0,79.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,384.0,351.0,-8.6,
    7.1.-Robos con fuerza en domicilios,252.0,202.0,-19.8,
    8. Hurtos,1765.0,1895.0,7.4,
    9. Sustracciones de vehículos,68.0,54.0,-20.6,
    10. Tráfico de drogas,47.0,42.0,-10.6,
    11. Resto de criminalidad convencional,3355.0,3441.0,2.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2089.0,2332.0,11.6,
    12.-Estafas informáticas,1901.0,2084.0,9.6,
    13.-Otros ciberdelitos,188.0,248.0,31.9,
    III. TOTAL INFRACCIONES PENALES,7946.0,8363.0,5.2,
BALEARS (ILLES),
    I. CRIMINALIDAD CONVENCIONAL,12987.0,12888.0,-0.8,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,5.0,5.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,235.0,233.0,-0.9,
    4. Secuestro,1.0,2.0,100.0,
    5. Delitos contra la libertad sexual,177.0,160.0,-9.6,
    5.1.-Agresión sexual con penetración,27.0,21.0,-22.2,
    5.2.-Resto de delitos contra la libertad sexual,150.0,139.0,-7.3,
    6. Robos con violencia e intimidación,270.0,256.0,-5.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,631.0,675.0,7.0,
    7.1.-Robos con fuerza en domicilios,455.0,474.0,4.2,
    8. Hurtos,3676.0,3399.0,-7.5,
    9. Sustracciones de vehículos,377.0,335.0,-11.1,
