DISTRITOS,EXPEDIENTES INSTRUIDOS,CONTACTOS CON CENTROS ESCOLARES,CON VICTIMAS,SIN VICTIMAS,EXPEDIENTES,PERSONAS DETENIDAS E INVESTIGADAS,RELACIONADAS CON LAS PERSONAS,RELACIONADAS CON EL PATRIMONIO,POR TENENCIA DE ARMAS,POR TENENCIA DE DROGAS,POR CONSUMO DE DROGAS,PROPIEDAD INTELECTUAL E INDUSTRIAL,INFRACCIONES ALIMENTARIAS
ARGANZUELA,0.0,15.0,41.0,33.0,8.0,20.0,4.0,5.0,0.0,8.0,2.0,2.0,2.0
BARAJAS,1.0,27.0,5.0,15.0,5.0,9.0,4.0,3.0,1.0,7.0,1.0,0.0,1.0
CARABANCHEL,0.0,18.0,43.0,62.0,26.0,41.0,19.0,21.0,3.0,32.0,7.0,4.0,24.0
CENTRO,9.0,10.0,61.0,63.0,54.0,176.0,40.0,122.0,10.0,220.0,36.0,55.0,48.0
CHAMARTÍN,0.0,4.0,50.0,46.0,16.0,20.0,4.0,12.0,1.0,68.0,23.0,19.0,26.0
CHAMBERÍ,5.0,9.0,32.0,38.0,20.0,24.0,5.0,5.0,1.0,85.0,3.0,0.0,1.0
CIUDAD LINEAL,1.0,1.0,49.0,57.0,23.0,41.0,16.0,17.0,0.0,24.0,0.0,2.0,3.0
FUENCARRAL - EL PARDO,4.0,43.0,47.0,59.0,14.0,17.0,7.0,7.0,2.0,21.0,1.0,4.0,3.0
HORTALEZA,7.0,55.0,21.0,29.0,12.0,18.0,1.0,6.0,0.0,50.0,4.0,3.0,0.0
LATINA,0.0,1.0,49.0,52.0,34.0,73.0,16.0,14.0,3.0,29.0,9.0,4.0,84.0
MONCLOA - ARAVACA,1.0,21.0,49.0,46.0,18.0,24.0,5.0,7.0,0.0,5.0,0.0,0.0,11.0
MORATALAZ,7.0,55.0,26.0,20.0,5.0,6.0,7.0,3.0,1.0,3.0,0.0,0.0,0.0
OTRAS COMISARÍAS,,,,,9.0,,,,,,,,
PUENTE DE VALLECAS,6.0,23.0,58.0,66.0,42.0,89.0,25.0,47.0,10.0,49.0,2.0,19.0,15.0
RETIRO,4.0,12.0,38.0,34.0,3.0,17.0,2.0,8.0,0.0,13.0,0.0,42.0,19.0
SALAMANCA,0.0,5.0,45.0,73.0,11.0,58.0,2.0,36.0,4.0,23.0,0.0,4.0,2.0
SAN BLAS - CANILLEJAS,7.0,31.0,37.0,51.0,12.0,29.0,3.0,9.0,5.0,12.0,2.0,0.0,13.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,3.0,37.0,30.0,33.0,17.0,24.0,6.0,9.0,0.0,15.0,2.0,6.0,7.0
TOTAL,72.0,409.0,778.0,919.0,378.0,757.0,189.0,373.0,51.0,704.0,103.0,187.0,332.0
USERA,2.0,20.0,32.0,43.0,16.0,31.0,6.0,11.0,5.0,16.0,3.0,2.0,40.0
VICÁLVARO,11.0,5.0,10.0,15.0,4.0,6.0,6.0,10.0,3.0,2.0,0.0,0.0,0.0
VILLA DE VALLECAS,0.0,0.0,26.0,48.0,15.0,13.0,3.0,13.0,1.0,6.0,3.0,1.0,4.0
VILLAVERDE,4.0,17.0,29.0,36.0,14.0,21.0,8.0,8.0,1.0,16.0,5.0,20.0,29.0
ARGANZUELA,0.0,9.0,28.0,62.0,18.0,28.0,6.0,6.0,1.0,20.0,3.0,11.0,4.0
BARAJAS,0.0,31.0,9.0,23.0,3.0,11.0,1.0,10.0,1.0,48.0,1.0,0.0,37.0
CARABANCHEL,13.0,22.0,46.0,68.0,59.0,69.0,25.0,18.0,6.0,29.0,0.0,14.0,127.0
CENTRO,13.0,11.0,60.0,58.0,57.0,149.0,25.0,87.0,4.0,123.0,9.0,119.0,25.0
CHAMARTÍN,13.0,37.0,72.0,81.0,12.0,21.0,6.0,12.0,0.0,56.0,16.0,28.0,28.0
CHAMBERÍ,2.0,8.0,47.0,44.0,14.0,15.0,4.0,0.0,0.0,27.0,3.0,1.0,3.0
CIUDAD LINEAL,2.0,0.0,43.0,47.0,37.0,39.0,12.0,27.0,6.0,21.0,1.0,4.0,7.0
FUENCARRAL - EL PARDO,2.0,52.0,39.0,62.0,27.0,44.0,9.0,8.0,0.0,30.0,0.0,1.0,4.0
HORTALEZA,12.0,50.0,29.0,43.0,16.0,28.0,5.0,3.0,1.0,14.0,1.0,2.0,2.0
LATINA,7.0,7.0,31.0,47.0,40.0,57.0,7.0,8.0,4.0,32.0,3.0,1.0,29.0
MONCLOA - ARAVACA,3.0,38.0,35.0,65.0,15.0,28.0,8.0,6.0,2.0,10.0,0.0,0.0,5.0
MORATALAZ,7.0,69.0,22.0,36.0,7.0,16.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0
OTRAS COMISARÍAS,,,,,15.0,,,,,,,,
PUENTE DE VALLECAS,21.0,30.0,52.0,90.0,63.0,150.0,34.0,26.0,9.0,105.0,7.0,15.0,14.0
RETIRO,4.0,27.0,48.0,59.0,12.0,12.0,0.0,3.0,0.0,3.0,1.0,22.0,8.0
SALAMANCA,5.0,12.0,52.0,56.0,29.0,61.0,10.0,47.0,1.0,22.0,1.0,0.0,2.0
SAN BLAS - CANILLEJAS,9.0,25.0,38.0,49.0,15.0,28.0,9.0,12.0,0.0,20.0,3.0,3.0,18.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,15.0,10.0,30.0,42.0,27.0,49.0,9.0,7.0,1.0,8.0,1.0,8.0,9.0
TOTAL,162.0,525.0,763.0,1054.0,533.0,872.0,195.0,315.0,45.0,619.0,59.0,244.0,433.0
USERA,3.0,20.0,25.0,43.0,24.0,26.0,7.0,6.0,3.0,12.0,3.0,2.0,56.0
VICÁLVARO,0.0,22.0,16.0,22.0,15.0,6.0,3.0,2.0,1.0,16.0,1.0,0.0,0.0
VILLA DE VALLECAS,17.0,13.0,16.0,19.0,14.0,13.0,3.0,10.0,3.0,7.0,1.0,3.0,2.0
VILLAVERDE,14.0,32.0,25.0,38.0,14.0,22.0,9.0,14.0,1.0,13.0,3.0,10.0,53.0
ARGANZUELA,0.0,0.0,23.0,27.0,27.0,15.0,3.0,5.0,2.0,8.0,0.0,2.0,4.0
BARAJAS,0.0,0.0,13.0,15.0,5.0,3.0,3.0,6.0,0.0,3.0,0.0,0.0,1.0
CARABANCHEL,2.0,0.0,41.0,54.0,60.0,42.0,23.0,24.0,2.0,35.0,7.0,1.0,38.0
CENTRO,18.0,0.0,38.0,43.0,77.0,152.0,24.0,97.0,0.0,29.0,13.0,104.0,172.0
CHAMARTÍN,0.0,0.0,32.0,29.0,15.0,20.0,7.0,7.0,12.0,36.0,5.0,10.0,4.0
CHAMBERÍ,0.0,0.0,18.0,25.0,4.0,8.0,3.0,3.0,2.0,11.0,2.0,1.0,4.0
CIUDAD LINEAL,1.0,0.0,36.0,34.0,16.0,36.0,7.0,8.0,1.0,24.0,1.0,2.0,4.0
FUENCARRAL - EL PARDO,1.0,2.0,25.0,36.0,20.0,26.0,3.0,6.0,0.0,13.0,4.0,0.0,2.0
HORTALEZA,6.0,0.0,18.0,24.0,9.0,16.0,2.0,4.0,0.0,29.0,3.0,1.0,1.0
LATINA,4.0,0.0,23.0,34.0,28.0,42.0,16.0,12.0,3.0,23.0,4.0,5.0,14.0
MONCLOA - ARAVACA,0.0,0.0,22.0,27.0,13.0,11.0,7.0,7.0,5.0,5.0,3.0,129.0,17.0
MORATALAZ,7.0,1.0,10.0,12.0,4.0,12.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0
OTRAS COMISARÍAS,,,,,14.0,,,,,,,,
PUENTE DE VALLECAS,9.0,0.0,39.0,55.0,38.0,72.0,27.0,16.0,7.0,28.0,3.0,6.0,11.0
RETIRO,2.0,0.0,35.0,16.0,6.0,13.0,2.0,4.0,0.0,5.0,2.0,29.0,11.0
SALAMANCA,0.0,0.0,35.0,35.0,5.0,37.0,3.0,31.0,1.0,4.0,0.0,7.0,0.0
SAN BLAS - CANILLEJAS,1.0,0.0,36.0,30.0,18.0,17.0,10.0,5.0,1.0,10.0,0.0,1.0,8.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,5.0,0.0,25.0,17.0,10.0,21.0,7.0,6.0,0.0,12.0,2.0,0.0,9.0
TOTAL,63.0,4.0,538.0,609.0,418.0,590.0,179.0,287.0,41.0,306.0,62.0,360.0,384.0
USERA,2.0,0.0,18.0,34.0,25.0,20.0,11.0,8.0,0.0,11.0,5.0,18.0,54.0
VICÁLVARO,1.0,0.0,13.0,11.0,3.0,5.0,0.0,0.0,2.0,9.0,6.0,0.0,0.0
VILLA DE VALLECAS,2.0,0.0,14.0,24.0,10.0,7.0,8.0,21.0,2.0,2.0,1.0,4.0,1.0
VILLAVERDE,2.0,1.0,24.0,27.0,11.0,15.0,9.0,14.0,1.0,7.0,1.0,40.0,29.0
ARGANZUELA,2.0,4.0,36.0,43.0,21.0,28.0,4.0,4.0,1.0,7.0,1.0,1.0,1.0
BARAJAS,0.0,15.0,14.0,28.0,7.0,8.0,4.0,9.0,0.0,4.0,0.0,2.0,1.0
CARABANCHEL,3.0,10.0,59.0,79.0,37.0,48.0,15.0,20.0,3.0,22.0,1.0,13.0,4.0
CENTRO,30.0,1.0,42.0,63.0,28.0,294.0,29.0,145.0,645.0,243.0,35.0,1515.0,13.0
CHAMARTÍN,1.0,1.0,56.0,82.0,20.0,25.0,7.0,8.0,1.0,105.0,27.0,30.0,3.0
CHAMBERÍ,0.0,0.0,44.0,35.0,12.0,18.0,2.0,8.0,2.0,35.0,1.0,4.0,3.0
CIUDAD LINEAL,1.0,2.0,49.0,52.0,25.0,33.0,7.0,9.0,2.0,7.0,0.0,1.0,3.0
FUENCARRAL - EL PARDO,1.0,29.0,44.0,66.0,16.0,31.0,8.0,4.0,4.0,13.0,0.0,1.0,0.0
HORTALEZA,1.0,0.0,34.0,41.0,14.0,12.0,2.0,1.0,2.0,18.0,1.0,0.0,4.0
LATINA,1.0,0.0,34.0,44.0,23.0,26.0,9.0,10.0,0.0,11.0,1.0,11.0,12.0
MONCLOA - ARAVACA,0.0,9.0,39.0,56.0,10.0,17.0,4.0,9.0,0.0,7.0,1.0,1.0,0.0
MORATALAZ,8.0,21.0,26.0,40.0,3.0,12.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0
OTRAS COMISARÍAS,,,,,13.0,,,,,,,,
PUENTE DE VALLECAS,3.0,25.0,52.0,87.0,24.0,85.0,18.0,27.0,2.0,27.0,4.0,11.0,1.0
RETIRO,6.0,16.0,48.0,46.0,5.0,15.0,1.0,7.0,0.0,3.0,1.0,33.0,3.0
SALAMANCA,0.0,2.0,60.0,67.0,13.0,71.0,10.0,49.0,0.0,5.0,0.0,0.0,0.0
SAN BLAS - CANILLEJAS,9.0,9.0,39.0,45.0,12.0,32.0,5.0,7.0,2.0,19.0,0.0,0.0,1.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,6.0,17.0,38.0,47.0,16.0,30.0,3.0,4.0,0.0,10.0,0.0,13.0,2.0
TOTAL,88.0,189.0,829.0,1067.0,354.0,870.0,151.0,360.0,678.0,583.0,84.0,1655.0,88.0
USERA,0.0,7.0,33.0,50.0,29.0,27.0,5.0,4.0,0.0,2.0,0.0,8.0,15.0
