Region,Category,Enero-Marzo 2023,Enero-Marzo 2024,Porcentaje variación 2024/2023
"ANDALUCÍA,",I. CRIMINALIDAD CONVENCIONAL,79661.0,77809.0,-2.3
"ANDALUCÍA,",1. Homicidios dolosos y asesinatos consumados,22.0,27.0,22.7
"ANDALUCÍA,",2. Homicidios dolosos y asesinatos en grado tentativa,63.0,48.0,-23.8
"ANDALUCÍA,",3. Delitos graves y menos graves de lesiones y riña tumultuaria,1072.0,1171.0,9.2
"ANDALUCÍA,",4. Secuestro,10.0,9.0,-10.0
"ANDALUCÍA,",5. Delitos contra la libertad sexual,716.0,694.0,-3.1
"ANDALUCÍA,",5.1.-Agresión sexual con penetración,716.0,694.0,-3.1
"ANDALUCÍA,",5.2.-Resto de delitos contra la libertad sexual,716.0,694.0,-3.1
"ANDALUCÍA,",6. Robos con violencia e intimidación,1750.0,1818.0,3.9
"ANDALUCÍA,",7. Robos con fuerza en domicilios,,4977.0,4785.0
"ANDALUCÍA,",7.1.-Robos con fuerza en domicilios,,4977.0,4785.0
"ANDALUCÍA,",8. Hurtos,22998.0,21392.0,-7.0
"ANDALUCÍA,",9. Sustracciones de vehículos,1347.0,1526.0,13.3
"ANDALUCÍA,",10. Tráfico de drogas,1124.0,1047.0,-6.9
"ANDALUCÍA,",11. Resto de criminalidad convencional,45582.0,45292.0,-0.6
"ANDALUCÍA,",II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),17745.0,21604.0,21.7
"ANDALUCÍA,",12.-Estafas informáticas,17745.0,21604.0,21.7
"ANDALUCÍA,",13.-Otros ciberdelitos,17745.0,21604.0,21.7
"ANDALUCÍA,",III. TOTAL INFRACCIONES PENALES,97406.0,99413.0,2.1
"ANDALUCÍA,",Provincia de ALMERÍA,97406.0,99413.0,2.1
"ANDALUCÍA,",I. CRIMINALIDAD CONVENCIONAL,6556.0,6652.0,1.5
"ANDALUCÍA,",1. Homicidios dolosos y asesinatos consumados,2.0,6.0,200.0
"ANDALUCÍA,",2. Homicidios dolosos y asesinatos en grado tentativa,7.0,1.0,-85.7
"ANDALUCÍA,",3. Delitos graves y menos graves de lesiones y riña tumultuaria,117.0,125.0,6.8
"ANDALUCÍA,",4. Secuestro,1.0,1.0,0.0
"ANDALUCÍA,",5. Delitos contra la libertad sexual,73.0,80.0,9.6
"ANDALUCÍA,",5.1.-Agresión sexual con penetración,73.0,80.0,9.6
"ANDALUCÍA,",5.2.-Resto de delitos contra la libertad sexual,73.0,80.0,9.6
"ANDALUCÍA,",6. Robos con violencia e intimidación,129.0,157.0,21.7
"ANDALUCÍA,",7. Robos con fuerza en domicilios,,503.0,463.0
"ANDALUCÍA,",7.1.-Robos con fuerza en domicilios,,503.0,463.0
"ANDALUCÍA,",8. Hurtos,1398.0,1463.0,4.6
"ANDALUCÍA,",9. Sustracciones de vehículos,89.0,82.0,-7.9
"ANDALUCÍA,",10. Tráfico de drogas,112.0,124.0,10.7
"ANDALUCÍA,",11. Resto de criminalidad convencional,4125.0,4150.0,0.6
"ANDALUCÍA,",II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1013.0,1420.0,40.2
"ANDALUCÍA,",12.-Estafas informáticas,1013.0,1420.0,40.2
"ANDALUCÍA,",13.-Otros ciberdelitos,1013.0,1420.0,40.2
"ANDALUCÍA,",III. TOTAL INFRACCIONES PENALES,7569.0,8072.0,6.6
"ANDALUCÍA,",04003 Adra,7569.0,8072.0,6.6
"ANDALUCÍA,",I. CRIMINALIDAD CONVENCIONAL,232.0,225.0,-3.0
"ANDALUCÍA,",1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
"ANDALUCÍA,",2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
"ANDALUCÍA,",3. Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,1.0,-50.0
"ANDALUCÍA,",4. Secuestro,0.0,0.0,0.0
"ANDALUCÍA,",5. Delitos contra la libertad sexual,2.0,1.0,-50.0
"ANDALUCÍA,",5.1.-Agresión sexual con penetración,2.0,1.0,-50.0
"ANDALUCÍA,",5.2.-Resto de delitos contra la libertad sexual,2.0,1.0,-50.0
"ANDALUCÍA,",6. Robos con violencia e intimidación,3.0,2.0,-33.3
"ANDALUCÍA,",7. Robos con fuerza en domicilios,,14.0,16.0
"ANDALUCÍA,",7.1.-Robos con fuerza en domicilios,,14.0,16.0
"ANDALUCÍA,",8. Hurtos,42.0,66.0,57.1
"ANDALUCÍA,",9. Sustracciones de vehículos,1.0,3.0,200.0
"ANDALUCÍA,",10. Tráfico de drogas,6.0,3.0,-50.0
"ANDALUCÍA,",11. Resto de criminalidad convencional,162.0,133.0,-17.9
"ANDALUCÍA,",II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),21.0,37.0,76.2
"ANDALUCÍA,",12.-Estafas informáticas,21.0,37.0,76.2
"ANDALUCÍA,",13.-Otros ciberdelitos,21.0,37.0,76.2
"ANDALUCÍA,",III. TOTAL INFRACCIONES PENALES,253.0,262.0,3.6
"ANDALUCÍA,",04013 Almería,253.0,262.0,3.6
"ANDALUCÍA,",I. CRIMINALIDAD CONVENCIONAL,1766.0,1822.0,3.2
"ANDALUCÍA,",1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
"ANDALUCÍA,",2. Homicidios dolosos y asesinatos en grado tentativa,2.0,0.0,-100.0
"ANDALUCÍA,",3. Delitos graves y menos graves de lesiones y riña tumultuaria,22.0,29.0,31.8
"ANDALUCÍA,",4. Secuestro,1.0,0.0,-100.0
"ANDALUCÍA,",5. Delitos contra la libertad sexual,26.0,26.0,0.0
"ANDALUCÍA,",5.1.-Agresión sexual con penetración,26.0,26.0,0.0
"ANDALUCÍA,",5.2.-Resto de delitos contra la libertad sexual,26.0,26.0,0.0
"ANDALUCÍA,",6. Robos con violencia e intimidación,43.0,66.0,53.5
"ANDALUCÍA,",7. Robos con fuerza en domicilios,,94.0,75.0
"ANDALUCÍA,",7.1.-Robos con fuerza en domicilios,,94.0,75.0
"ANDALUCÍA,",8. Hurtos,472.0,540.0,14.4
"ANDALUCÍA,",9. Sustracciones de vehículos,39.0,32.0,-17.9
"ANDALUCÍA,",10. Tráfico de drogas,47.0,47.0,0.0
"ANDALUCÍA,",11. Resto de criminalidad convencional,1020.0,1006.0,-1.4
"ANDALUCÍA,",II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),328.0,495.0,50.9
"ANDALUCÍA,",12.-Estafas informáticas,328.0,495.0,50.9
"ANDALUCÍA,",13.-Otros ciberdelitos,328.0,495.0,50.9
"ANDALUCÍA,",III. TOTAL INFRACCIONES PENALES,2094.0,2317.0,10.6
