Region,Descripcion,Periodo_2023,Periodo_2024,Porcentaje_variacion
Andalucía,    I. CRIMINALIDAD CONVENCIONAL,79661.0,77809.0,-2.3
,    1. Homicidios dolosos y asesinatos consumados,22.0,27.0,22.7
,    2. Homicidios dolosos y asesinatos en grado tentativa,63.0,48.0,-23.8
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,1072.0,1171.0,9.2
,    4. Secuestro,10.0,9.0,-10.0
,    5. Delitos contra la libertad sexual,716.0,694.0,-3.1
,    5.1.-Agresion sexual con penetracion,128.0,119.0,-7.0
,    5.2.-Resto de delitos contra la libertad sexual,588.0,575.0,-2.2
,    6. Robos con violencia e intimidacion,1750.0,1818.0,3.9
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4977.0,4785.0
,    7.1.-Robos con fuerza en domicilios,3333.0,3297.0,-1.1
,    8. Hurtos,22998.0,21392.0,-7.0
,    9. Sustracciones de vehÃ­culos,1347.0,1526.0,13.3
,    10. TrÃ¡fico de drogas,1124.0,1047.0,-6.9
,    11. Resto de criminalidad convencional,45582.0,45292.0,-0.6
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),17745.0,21604.0,21.7
,    12.-Estafas informÃ¡ticas,15705.0,19064.0,21.4
,    13.-Otros ciberdelitos,2040.0,2540.0,24.5
,    III. TOTAL INFRACCIONES PENALES,97406.0,99413.0,2.1
Provincia de Almería,    I. CRIMINALIDAD CONVENCIONAL,6556.0,6652.0,1.5
,    1. Homicidios dolosos y asesinatos consumados,2.0,6.0,200.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,7.0,1.0,-85.7
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,117.0,125.0,6.8
,    4. Secuestro,1.0,1.0,0.0
,    5. Delitos contra la libertad sexual,73.0,80.0,9.6
,    5.1.-Agresion sexual con penetracion,13.0,19.0,46.2
,    5.2.-Resto de delitos contra la libertad sexual,60.0,61.0,1.7
,    6. Robos con violencia e intimidacion,129.0,157.0,21.7
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,503.0,463.0
,    7.1.-Robos con fuerza en domicilios,397.0,367.0,-7.6
,    8. Hurtos,1398.0,1463.0,4.6
,    9. Sustracciones de vehÃ­culos,89.0,82.0,-7.9
,    10. TrÃ¡fico de drogas,112.0,124.0,10.7
,    11. Resto de criminalidad convencional,4125.0,4150.0,0.6
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1013.0,1420.0,40.2
,    12.-Estafas informÃ¡ticas,899.0,1260.0,40.2
,    13.-Otros ciberdelitos,114.0,160.0,40.4
,    III. TOTAL INFRACCIONES PENALES,7569.0,8072.0,6.6
Adra,    I. CRIMINALIDAD CONVENCIONAL,232.0,225.0,-3.0
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,2.0,1.0,-50.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,2.0,1.0,-50.0
,    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
,    5.2.-Resto de delitos contra la libertad sexual,2.0,1.0,-50.0
,    6. Robos con violencia e intimidacion,3.0,2.0,-33.3
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,14.0,16.0
,    7.1.-Robos con fuerza en domicilios,13.0,14.0,7.7
,    8. Hurtos,42.0,66.0,57.1
,    9. Sustracciones de vehÃ­culos,1.0,3.0,200.0
,    10. TrÃ¡fico de drogas,6.0,3.0,-50.0
,    11. Resto de criminalidad convencional,162.0,133.0,-17.9
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),21.0,37.0,76.2
,    12.-Estafas informÃ¡ticas,19.0,30.0,57.9
,    13.-Otros ciberdelitos,2.0,7.0,250.0
,    III. TOTAL INFRACCIONES PENALES,253.0,262.0,3.6
Almería,    I. CRIMINALIDAD CONVENCIONAL,1766.0,1822.0,3.2
,    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,0.0,-100.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,22.0,29.0,31.8
,    4. Secuestro,1.0,0.0,-100.0
,    5. Delitos contra la libertad sexual,26.0,26.0,0.0
,    5.1.-Agresion sexual con penetracion,5.0,7.0,40.0
,    5.2.-Resto de delitos contra la libertad sexual,21.0,19.0,-9.5
,    6. Robos con violencia e intimidacion,43.0,66.0,53.5
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,94.0,75.0
,    7.1.-Robos con fuerza en domicilios,72.0,56.0,-22.2
,    8. Hurtos,472.0,540.0,14.4
,    9. Sustracciones de vehÃ­culos,39.0,32.0,-17.9
,    10. TrÃ¡fico de drogas,47.0,47.0,0.0
,    11. Resto de criminalidad convencional,1020.0,1006.0,-1.4
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),328.0,495.0,50.9
,    12.-Estafas informÃ¡ticas,299.0,463.0,54.8
,    13.-Otros ciberdelitos,29.0,32.0,10.3
,    III. TOTAL INFRACCIONES PENALES,2094.0,2317.0,10.6
El Ejido,    I. CRIMINALIDAD CONVENCIONAL,904.0,870.0,-3.8
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,24.0,17.0,-29.2
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,7.0,9.0,28.6
,    5.1.-Agresion sexual con penetracion,1.0,2.0,100.0
,    5.2.-Resto de delitos contra la libertad sexual,6.0,7.0,16.7
,    6. Robos con violencia e intimidacion,11.0,15.0,36.4
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,53.0,32.0
,    7.1.-Robos con fuerza en domicilios,27.0,21.0,-22.2
,    8. Hurtos,210.0,156.0,-25.7
,    9. Sustracciones de vehÃ­culos,9.0,11.0,22.2
,    10. TrÃ¡fico de drogas,15.0,20.0,33.3
,    11. Resto de criminalidad convencional,574.0,610.0,6.3
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),90.0,88.0,-2.2
,    12.-Estafas informÃ¡ticas,77.0,73.0,-5.2
,    13.-Otros ciberdelitos,13.0,15.0,15.4
,    III. TOTAL INFRACCIONES PENALES,994.0,958.0,-3.6
Huércal-Overa,    I. CRIMINALIDAD CONVENCIONAL,132.0,110.0,-16.7
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,3.0,0.0,-100.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,5.0,2.0,-60.0
,    5.1.-Agresion sexual con penetracion,1.0,0.0,-100.0
,    5.2.-Resto de delitos contra la libertad sexual,4.0,2.0,-50.0
,    6. Robos con violencia e intimidacion,0.0,2.0,100.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,29.0,9.0
,    7.1.-Robos con fuerza en domicilios,28.0,8.0,-71.4
,    8. Hurtos,29.0,25.0,-13.8
,    9. Sustracciones de vehÃ­culos,3.0,0.0,-100.0
,    10. TrÃ¡fico de drogas,1.0,1.0,0.0
,    11. Resto de criminalidad convencional,62.0,71.0,14.5
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),26.0,40.0,53.8
,    12.-Estafas informÃ¡ticas,22.0,35.0,59.1
,    13.-Otros ciberdelitos,4.0,5.0,25.0
,    III. TOTAL INFRACCIONES PENALES,158.0,150.0,-5.1
Níjar,    I. CRIMINALIDAD CONVENCIONAL,330.0,315.0,-4.5
,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,9.0,13.0,44.4
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,2.0,2.0,0.0
,    5.1.-Agresion sexual con penetracion,0.0,1.0,100.0
,    5.2.-Resto de delitos contra la libertad sexual,2.0,1.0,-50.0
,    6. Robos con violencia e intimidacion,11.0,8.0,-27.3
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,12.0,14.0
,    7.1.-Robos con fuerza en domicilios,7.0,12.0,71.4
,    8. Hurtos,36.0,42.0,16.7
,    9. Sustracciones de vehÃ­culos,0.0,5.0,100.0
,    10. TrÃ¡fico de drogas,5.0,3.0,-40.0
,    11. Resto de criminalidad convencional,255.0,228.0,-10.6
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),40.0,52.0,30.0
,    12.-Estafas informÃ¡ticas,37.0,45.0,21.6
,    13.-Otros ciberdelitos,3.0,7.0,133.3
,    III. TOTAL INFRACCIONES PENALES,370.0,367.0,-0.8
Roquetas de Mar,    I. CRIMINALIDAD CONVENCIONAL,1289.0,1343.0,4.2
,    1. Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,17.0,28.0,64.7
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,14.0,21.0,50.0
,    5.1.-Agresion sexual con penetracion,3.0,6.0,100.0
,    5.2.-Resto de delitos contra la libertad sexual,11.0,15.0,36.4
,    6. Robos con violencia e intimidacion,47.0,45.0,-4.3
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,83.0,96.0
,    7.1.-Robos con fuerza en domicilios,62.0,82.0,32.3
,    8. Hurtos,316.0,305.0,-3.5
,    9. Sustracciones de vehÃ­culos,10.0,7.0,-30.0
,    10. TrÃ¡fico de drogas,11.0,17.0,54.5
,    11. Resto de criminalidad convencional,790.0,822.0,4.1
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),117.0,243.0,107.7
,    12.-Estafas informÃ¡ticas,99.0,206.0,108.1
,    13.-Otros ciberdelitos,18.0,37.0,105.6
,    III. TOTAL INFRACCIONES PENALES,1406.0,1586.0,12.8
Vícar,    I. CRIMINALIDAD CONVENCIONAL,347.0,287.0,-17.3
,    1. Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,4.0,7.0,75.0
,    4. Secuestro,0.0,0.0,0.0
,    5. Delitos contra la libertad sexual,3.0,4.0,33.3
,    5.1.-Agresion sexual con penetracion,0.0,1.0,100.0
,    5.2.-Resto de delitos contra la libertad sexual,3.0,3.0,0.0
,    6. Robos con violencia e intimidacion,3.0,3.0,0.0
,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,19.0,17.0
,    7.1.-Robos con fuerza en domicilios,11.0,12.0,9.1
,    8. Hurtos,61.0,55.0,-9.8
,    9. Sustracciones de vehÃ­culos,3.0,3.0,0.0
,    10. TrÃ¡fico de drogas,9.0,11.0,22.2
,    11. Resto de criminalidad convencional,244.0,186.0,-23.8
,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),38.0,41.0,7.9
,    12.-Estafas informÃ¡ticas,29.0,33.0,13.8
,    13.-Otros ciberdelitos,9.0,8.0,-11.1
,    III. TOTAL INFRACCIONES PENALES,385.0,328.0,-14.8
Provincia de Cádiz,    I. CRIMINALIDAD CONVENCIONAL,11374.0,10480.0,-7.9
,    1. Homicidios dolosos y asesinatos consumados,4.0,11.0,175.0
,    2. Homicidios dolosos y asesinatos en grado tentativa,13.0,8.0,-38.5
,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,170.0,161.0,-5.3
