CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI
K014,Transports i serveis relacionats,Autobusos diürns,425331.416,4583813.083,2.106711,41.402393,BUS -130--,5.0,23.0,Sarrià-Sant Gervasi,Sarrià
K014,Transports i serveis relacionats,Autobusos diürns,431332.65,4589041.769,2.177905,41.450021,BUS -127--,8.0,50.0,Nou Barris,les Roquetes
K014,Transports i serveis relacionats,Autobusos diürns,431049.183,4588946.754,2.174522,41.449141,BUS -127--,8.0,50.0,Nou Barris,les Roquetes
K014,Transports i serveis relacionats,Autobusos diürns,425979.264,4581009.501,2.114803,41.377203,BUS -54-157-D20-H8--,4.0,20.0,Les Corts,la Maternitat i Sant Ramon
K014,Transports i serveis relacionats,Autobusos diürns,425095.096,4585115.458,2.103723,41.414101,BUS -128--,5.0,22.0,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
K014,Transports i serveis relacionats,Autobusos diürns,431517.672,4588590.905,2.180171,41.445976,BUS -60-76-127--,8.0,52.0,Nou Barris,la Prosperitat
K014,Transports i serveis relacionats,Autobusos diürns,429208.719,4580817.269,2.153442,41.375762,BUS -55--,2.0,10.0,Eixample,Sant Antoni
K014,Transports i serveis relacionats,Autobusos diürns,431560.127,4589713.999,2.180552,41.456095,BUS -180--,8.0,54.0,Nou Barris,Torre Baró
K014,Transports i serveis relacionats,Autobusos diürns,431698.77,4589739.336,2.182209,41.456335,BUS -180--,8.0,54.0,Nou Barris,Torre Baró
K014,Transports i serveis relacionats,Autobusos diürns,431645.981,4590057.376,2.181541,41.459195,BUS -180--,8.0,54.0,Nou Barris,Torre Baró
K014,Transports i serveis relacionats,Autobusos diürns,431827.685,4590478.235,2.183669,41.463001,BUS -76-97--,8.0,56.0,Nou Barris,Vallbona
K014,Transports i serveis relacionats,Autobusos diürns,429981.367,4588115.749,2.161836,41.441564,BUS -182--,7.0,43.0,Horta-Guinardó,Horta
