"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K004","Transports i serveis relacionats","Tren a l'aeroport","432343.18","4584819.321","432251.231","4584618.362","2.189397","41.410259","Tren AEROPORT - CLOT-","10","65","Sant Martí","el Clot","",""
"K002","Transports i serveis relacionats","Ferrocarrils Generalitat (FGC)","427818.595","4583478.761","427726.688","4583277.816","2.135427","41.397791","FGC - BONANOVA-","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","",""
"K002","Transports i serveis relacionats","Ferrocarrils Generalitat (FGC)","428146.731","4584356.984","428054.821","4584156.031","2.139248","41.405731","FGC - EL PUTXET-","05","27","Sarrià-Sant Gervasi","el Putxet i el Farró","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432161.47","4584722.98","432069.523","4584522.022","2.187234","41.409376","Clot (Aragó / Meridiana)-","10","65","Sant Martí","el Clot","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431886.081","4587016.87","431794.137","4586815.891","2.183681","41.430013","Fabra i Puig (Avinguda Meridiana)-","09","60","Sant Andreu","Sant Andreu","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432762.829","4589085.455","432670.878","4588884.457","2.193942","41.448718","Trinitat Vella (Via Bàrcino)-","09","57","Sant Andreu","la Trinitat Vella","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427384.656","4578410.814","427292.751","4578209.916","2.130845","41.352108","Fira (Botànica + Accés NORD | EST)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427064.502","4577223.132","426972.6","4577022.245","2.127161","41.341382","Parc Logístic (Av. Parc Logístic / C. Número Un)-","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","422527.145","4573996.25","422435.284","4573795.394","2.073349","41.311895","Mas Blau (Avinguda de Les Garrigues / Alta Ribagorça)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","422322.349","4571369.92","422230.489","4571169.089","2.071238","41.288221","Aeroport T1 (Aeroport T1)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427940.478","4580982.693","427848.569","4580781.771","2.137183","41.375321","Plaça de Sants (Olzinelles)-","03","18","Sants-Montjuïc","Sants","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432162.369","4585407.352","432070.422","4585206.388","2.187168","41.41554","Navas (Navas de Tolosa)-","09","63","Sant Andreu","Navas","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431930.636","4586903.201","431838.692","4586702.223","2.184227","41.428993","Fabra i Puig (Concepción Arenal)-","09","60","Sant Andreu","Sant Andreu","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","434569.587","4588856.684","434477.619","4588655.687","2.215595","41.446807","Santa Rosa (Banús Baixa)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","426340.766","4579371.428","426248.871","4579170.521","2.118251","41.360665","Can Tries | Gornal (Can Tries - Narcís de Monturiol)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431170.286","4590455.575","431078.35","4590254.564","2.174722","41.460923","Ciutat Meridiana (Avinguda Rasos de Peguera)-","08","55","Nou Barris","Ciutat Meridiana","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","424833.197","4579759.751","424741.316","4579558.841","2.100181","41.364022","Rambla Just Oliveras (Renfe)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428871.609","4580970.711","428779.691","4580769.789","2.148318","41.375296","Espanya (Creu Coberta)-","03","15","Sants-Montjuïc","Hostafrancs","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431271.124","4588903.863","431179.187","4588702.867","2.176107","41.446956","Roquetes (Carrer de les Torres)-","08","50","Nou Barris","les Roquetes","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429432.023","4586296.628","429340.102","4586095.656","2.154397","41.423314","El Carmel (Llobregós)-","07","37","Horta-Guinardó","el Carmel","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","434064.779","4585917.358","433972.815","4585716.388","2.209874","41.420292","Besòs (Tram Besòs)-","10","70","Sant Martí","el Besòs i el Maresme","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","433927.604","4584531.759","433835.641","4584330.802","2.208384","41.407801","Selva de Mar (Provençals)-","10","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429810.279","4587004.313","429718.354","4586803.335","2.158841","41.429721","Horta (Lisboa)-","07","43","Horta-Guinardó","Horta","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431503.01","4583729.707","431411.069","4583528.759","2.179469","41.400374","Monumental (Marina)-","02","05","Eixample","el Fort Pienc","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427534.876","4575248.102","427442.969","4575047.233","2.133018","41.323636","ZAL | Riu Vell (Riu Llobregat)-","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431336.647","4586196.568","431244.708","4585995.597","2.177199","41.422578","Maragall (Ronda Guinardó - costat Muntanya)-","07","35","Horta-Guinardó","el Guinardó","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","425721.084","4581102.937","425629.196","4580902.015","2.110631","41.376202","Ernest Lluch (Avinguda de Xile)-","04","20","Les Corts","la Maternitat i Sant Ramon","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431234.177","4581134.193","431142.238","4580933.269","2.176548","41.376975","Drassanes (La Rambla)-","01","01","Ciutat Vella","el Raval","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428619.333","4587096.474","428527.419","4586895.495","2.144578","41.430446","Montbau (Residència Sanitària / Llars Mundet)-","07","40","Horta-Guinardó","Montbau","",""
"K002","Transports i serveis relacionats","Ferrocarrils Generalitat (FGC)","426957.615","4583617.136","426865.716","4583416.19","2.125112","41.39896","FGC - SARRIÀ-","05","24","Sarrià-Sant Gervasi","les Tres Torres","",""
"K002","Transports i serveis relacionats","Ferrocarrils Generalitat (FGC)","422671.426","4588750.953","422579.568","4588549.961","2.073187","41.444795","FGC - LA FLORESTA-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430126.062","4584373.41","430034.134","4584172.456","2.162924","41.406053","Joanic (Escorial)-","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432121.477","4586108.882","432029.531","4585907.911","2.1866","41.421855","La Sagrera (Garcilaso)-","09","61","Sant Andreu","la Sagrera","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428555.42","4577373.718","428463.504","4577172.829","2.144961","41.342872","Zona Franca (Carrer A (costat mar))-","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K002","Transports i serveis relacionats","Ferrocarrils Generalitat (FGC)","430446.512","4582134.85","430354.58","4581933.917","2.167015","41.385919","FGC - CATALUNYA (C. de Balmes)-","02","07","Eixample","la Dreta de l'Eixample","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427844.587","4581691.682","427752.679","4581490.753","2.135951","41.381698","Plaça del Centre (Plaça del Centre (mar))-","03","18","Sants-Montjuïc","Sants","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","433136.559","4590067.701","433044.605","4589866.693","2.198307","41.457596","Can Zam (Francesc Macià)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","436983.466","4589069.597","436891.476","4588868.597","2.244468","41.448918","Badalona Pompeu Fabra (La Creu)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","425834.257","4581995.237","425742.368","4581794.306","2.111874","41.384249","Zona Universitària (Dr. Marañón / Diagonal)-","04","20","Les Corts","la Maternitat i Sant Ramon","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","425782.231","4581055.123","425690.342","4580854.201","2.111368","41.375777","Ernest Lluch (Cementiri de Sants)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430707.806","4582077.957","430615.872","4581877.024","2.170146","41.385429","Catalunya (La Rambla)-","01","01","Ciutat Vella","el Raval","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429881.979","4583286.687","429790.053","4583085.743","2.16013","41.396244","Diagonal (Diagonal / Pau Claris)-","02","07","Eixample","la Dreta de l'Eixample","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429015.665","4584404.318","428923.747","4584203.364","2.149637","41.406234","Lesseps (Septimània)-","05","27","Sarrià-Sant Gervasi","el Putxet i el Farró","",""
"K003","Transports i serveis relacionats","RENFE","430734.873","4582375.115","430642.939","4582174.179","2.170436","41.388108","RENFE - CATALUNYA-","02","07","Eixample","la Dreta de l'Eixample","",""
"K003","Transports i serveis relacionats","RENFE","424033.841","4576123.885","423941.967","4575923.009","2.09108","41.331201","RENFE - EL PRAT DE LLOBREGAT-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430471.146","4587070.982","430379.215","4586870.003","2.166742","41.430379","Vilapicina (Cartellà)-","08","44","Nou Barris","Vilapicina i la Torre Llobeta","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","436048.723","4588128.525","435956.741","4587927.534","2.233378","41.440368","Gorg (Avinguda Alfons XIII)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","426232.839","4580200.141","426140.946","4579999.227","2.11686","41.368118","Torrassa (Rosalía de Castro)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428057.934","4580994.738","427966.024","4580793.816","2.138586","41.37544","Plaça de Sants (Riego)-","03","18","Sants-Montjuïc","Sants","",""
"K011","Transports i serveis relacionats","Tramvia","434888.218","4584964.443","434796.246","4584763.482","2.219829","41.411777","TRAMVIA (T4) - FÒRUM-","10","70","Sant Martí","el Besòs i el Maresme","",""
"K011","Transports i serveis relacionats","Tramvia","435784.581","4586297.339","435692.601","4586096.365","2.230412","41.423854","TRAMVIA (T4, T6) - ESTACIÓ DE SANT ADRIÀ-","","","","","",""
"K011","Transports i serveis relacionats","Tramvia","421654.373","4579389.297","421562.522","4579188.392","2.062227","41.360383","TRAMVIA (T1,T2) - FONTSANTA-FATJÓ-","","","","","",""
"K003","Transports i serveis relacionats","RENFE","431795.907","4594379.975","431703.966","4594178.928","2.181768","41.496321","RENFE - MONTCADA-RIPOLLET-","","","","","",""
"K011","Transports i serveis relacionats","Tramvia","422886.853","4579945.679","422794.99","4579744.768","2.076889","41.365513","TRAMVIA (T1,T2) - EL PEDRÒ-","","","","","",""
"K011","Transports i serveis relacionats","Tramvia","433034.236","4584922.045","432942.281","4584721.085","2.197653","41.411242","TRAMVIA (T5, T6) - ESPRONCEDA-","10","71","Sant Martí","Provençals del Poblenou","",""
"K011","Transports i serveis relacionats","Tramvia","426092.308","4581574.089","426000.416","4581373.162","2.115012","41.38048","TRAMVIA (T1,T2,T3) - AVINGUDA DE XILE-","04","20","Les Corts","la Maternitat i Sant Ramon","",""
"K011","Transports i serveis relacionats","Tramvia","425335.618","4581092.28","425243.733","4580891.358","2.106023","41.376071","TRAMVIA (T1,T2,T3) - CAN RIGAL-","","","","","",""
"K011","Transports i serveis relacionats","Tramvia","435164.796","4587035.887","435072.822","4586834.907","2.222916","41.430456","TRAMVIA (T5) - ENCANTS DE SANT ADRIÀ-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","423044.361","4579104.133","422952.497","4578903.23","2.078879","41.357949","Gavarra (Pl. Catalunya)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429044.041","4582420.39","428952.122","4582219.454","2.150209","41.388368","Hospital Clínic (Comte d'Urgell)-","02","09","Eixample","la Nova Esquerra de l'Eixample","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430498.636","4583598.613","430406.704","4583397.666","2.16747","41.399107","Verdaguer (Bailèn)-","02","07","Eixample","la Dreta de l'Eixample","",""
"K011","Transports i serveis relacionats","Tramvia","424740.122","4581144.606","424648.243","4580943.683","2.098896","41.376486","TRAMVIA (T1,T2,T3) - CA N'OLIVERES-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432824.996","4585326.887","432733.043","4585125.923","2.195105","41.414871","Bac de Roda (Bac de Roda)-","10","72","Sant Martí","Sant Martí de Provençals","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429017.791","4580918.758","428925.872","4580717.836","2.150072","41.374841","Espanya (Exposició)-","03","11","Sants-Montjuïc","el Poble-sec","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429759.572","4580948.83","429667.646","4580747.908","2.158937","41.375177","Poble Sec (Manso)-","02","10","Eixample","Sant Antoni","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429762.788","4580918.266","429670.862","4580717.344","2.158979","41.374902","Poble Sec (Teodor Bonaplata)-","03","11","Sants-Montjuïc","el Poble-sec","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428331.324","4585665.371","428239.413","4585464.406","2.141301","41.417531","Penitents (Avinguda Vallcarca)-","06","28","Gràcia","Vallcarca i els Penitents","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430658.799","4582313.141","430566.865","4582112.206","2.169533","41.387543","Catalunya (Centre Plaça)-","02","07","Eixample","la Dreta de l'Eixample","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429765.797","4581763.498","429673.871","4581562.568","2.158917","41.382515","METRO (L1) - Urgell-","02","08","Eixample","l'Antiga Esquerra de l'Eixample","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432181.614","4583937.709","432089.667","4583736.758","2.187563","41.402305","METRO (L1) - Glòries-","10","66","Sant Martí","el Parc i la Llacuna del Poblenou","",""
