precio,sub_descr,href,ubicacion,habitaciones,banios,mt2,otros,publicado_hace,plataforma,CCAA,fuente_datos,alquiler_venta,fecha_extract,latitude,longitude,planta
2997500.0,"Atico de lujo de 252 m2 en venta Torre del Rio, Málaga, Provincia de Málaga, Andalucía",https://rd.clk.thribee.com/id.199191O1OC1h1k/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.25429trovit-web-86bb757b58-p4h9m6681892e847e3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20malaga/type.1/page.1/cookieid.1020556681892e75f0d6.48492477/pos.1/,Provincia de Málaga,,3.0,252.0,"...Residencial exclusivo situado en primera línea de playa de la capital de la Costa del Sol, frente al paseo marítimo Antonio Banderas de Málaga...",30.0,LuxuryEstate,Malaga,trovit,venta,2024-06-30,,,
3150000.0,"Villa / Chalet de 513 m2 en venta en 29679 Benahavís, Málaga, España, Málaga, Provincia de Málaga, Andalucía",https://rd.clk.thribee.com/id.1q1I1e1S51S91j/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.25429trovit-web-86bb757b58-p4h9m6681892e847e3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20malaga/type.1/page.1/cookieid.1020556681892e75f0d6.48492477/pos.2/,"29002, Provincia de Málaga",16.0,5.0,513.0,"...y zonas turísticas como San Pedro (8 km), Puerto Banús (12 km) y Marbella (20 km). Aeropuerto de Málaga 67 km Aeropuerto de Gibraltar 61 km...",30.0,LuxuryEstate,Malaga,trovit,venta,2024-06-30,,,
770000.0,"Piso de lujo de 149 m2 en venta en Casco antiguo, Marbella, Provincia de Málaga, Andalucía",https://rd.clk.thribee.com/id.m_1yWq21o14/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.25429trovit-web-86bb757b58-p4h9m6681892e847e3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20malaga/type.1/page.1/cookieid.1020556681892e75f0d6.48492477/pos.3/,"Marbella, Provincia de Málaga",,2.0,149.0,"Último piso a la venta en un edificio en Casco Antiguo de Marbella A la venta este amplio piso de dos dormitorios, en planta baja, con acceso...",30.0,LuxuryEstate,Malaga,trovit,venta,2024-06-30,,,
4500000.0,"Piso de lujo de 137 m2 en venta en Puente Romano Resort, Marbella, Provincia de Málaga, Andalucía",https://rd.clk.thribee.com/id.U1M1Nt1JXu_/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.25429trovit-web-86bb757b58-p4h9m6681892e847e3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20malaga/type.1/page.1/cookieid.1020556681892e75f0d6.48492477/pos.4/,"Marbella, Provincia de Málaga",8.0,3.0,137.0,"Moderno piso de 3 dormitorios en Puente Romano, Marbella Viva la vida de lujo en este moderno piso de 3 dormitorios situado en la planta baja...",30.0,LuxuryEstate,Malaga,trovit,venta,2024-06-30,,,
6995000.0,"Piso de lujo de 137 m2 en venta en Puente Romano, Marbella, Provincia de Málaga, Andalucía",https://rd.clk.thribee.com/id.Im1M1X1gc41k/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.25429trovit-web-86bb757b58-p4h9m6681892e847e3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20malaga/type.1/page.1/cookieid.1020556681892e75f0d6.48492477/pos.5/,"Marbella, Provincia de Málaga",,3.0,137.0,"BlueLife Realty presenta a la venta este lujoso piso frente al mar en Puente Romano, enclavado en la prestigiosa y segura urbanización de...",30.0,LuxuryEstate,Malaga,trovit,venta,2024-06-30,,,
699000.0,"Piso de lujo de 121 m2 en venta en Río real, Marbella, Provincia de Málaga, Andalucía",https://rd.clk.thribee.com/id.yC1XA1mAD1Z/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.25429trovit-web-86bb757b58-p4h9m6681892e847e3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20malaga/type.1/page.1/cookieid.1020556681892e75f0d6.48492477/pos.6/,"Marbella, Provincia de Málaga",,2.0,121.0,...Málaga. Un acceso rápido a la carretera nacional N-340 en dirección al oeste y al este están muy cerca. La comunidad ofrece alta calidad...,30.0,LuxuryEstate,Malaga,trovit,venta,2024-06-30,,,
1099000.0,"Piso de lujo de 94 m2 en venta en Puerto Banus, Marbella, Provincia de Málaga, Andalucía",https://rd.clk.thribee.com/id.1u1-1V1X1lw1qS/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.25429trovit-web-86bb757b58-p4h9m6681892e847e3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20malaga/type.1/page.1/cookieid.1020556681892e75f0d6.48492477/pos.7/,"Marbella, Provincia de Málaga",5.0,1.0,94.0,Lujoso apartamento reformado con vistas a puerto banús puerto. CONSIDERADO EL PUERTO MAS EXCLUSIVO DE LA COSTA DEL SOL Este exclusivo apartamento...,30.0,LuxuryEstate,Malaga,trovit,venta,2024-06-30,,,
595000.0,"Villa / Chalet de 252 m2 en venta en duquesa village, Manilva, Provincia de Málaga, Andalucía",https://rd.clk.thribee.com/id.1wR18RY1KN1Q/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.25429trovit-web-86bb757b58-p4h9m6681892e847e3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20malaga/type.1/page.1/cookieid.1020556681892e75f0d6.48492477/pos.8/,"Manilva, Provincia de Málaga",5.0,3.0,252.0,"...golf con vista al mar. Spa.Boutiques y restaurantes. Malaga 103 km.Puerto de Manilva 2.5 km. Aeropuerto de Gibraltar 32 km, 35 minutos en coche...",30.0,LuxuryEstate,Malaga,trovit,venta,2024-06-30,,,
999000.0,"Villa / Chalet de 105 m2 en venta en 29691 Manilva, Málaga, España, Manilva, Provincia de Málaga, Andalucía",https://rd.clk.thribee.com/id.1U1c171n1ge1n1t/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.25429trovit-web-86bb757b58-p4h9m6681892e847e3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20malaga/type.1/page.1/cookieid.1020556681892e75f0d6.48492477/pos.9/,"Manilva, Provincia de Málaga",8.0,4.0,105.0,...y comer en restaurantes de alta calidad. Sotogrande 10 km La Duquesa 5 km Aeropuerto de Gibraltar 29 km Aeropuerto de Málaga 1 hora en coche...,30.0,LuxuryEstate,Malaga,trovit,venta,2024-06-30,,,
2269613.0,"Villa / Chalet de 541 m2 en venta en Lomas de la Quinta, Marbella, Provincia de Málaga, Andalucía",https://rd.clk.thribee.com/id.1P4m1s44Bp/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.25429trovit-web-86bb757b58-p4h9m6681892e847e3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20malaga/type.1/page.1/cookieid.1020556681892e75f0d6.48492477/pos.10/,"Marbella, Provincia de Málaga",14.0,4.0,541.0,"...privada y equipada. Pistas de pádel y tenis. Centro ecuestre. Puerto de Marbella a 13 km. Aeropuerto de Málaga a 60 km, 45 minutos en coche...",30.0,LuxuryEstate,Malaga,trovit,venta,2024-06-30,,,
