Region,Descripcion,Periodo_2023,Periodo_2024,Porcentaje_variacion
Andalucía,    I. CRIMINALIDAD CONVENCIONAL,79661.0,77809.0,-2.3
Andalucía,    1. Homicidios dolosos y asesinatos consumados,22.0,27.0,22.7
Andalucía,    2. Homicidios dolosos y asesinatos en grado tentativa,63.0,48.0,-23.8
Andalucía,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,1072.0,1171.0,9.2
Andalucía,    4. Secuestro,10.0,9.0,-10.0
Andalucía,    5. Delitos contra la libertad sexual,716.0,694.0,-3.1
Andalucía,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,128.0,119.0,-7.0
Andalucía,    5.2.-Resto de delitos contra la libertad sexual,588.0,575.0,-2.2
Andalucía,    6. Robos con violencia e intimidaciÃ³n,1750.0,1818.0,3.9
Andalucía,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4977.0,4785.0
Andalucía,    7.1.-Robos con fuerza en domicilios,3333.0,3297.0,-1.1
Andalucía,    8. Hurtos,22998.0,21392.0,-7.0
Andalucía,    9. Sustracciones de vehÃ­culos,1347.0,1526.0,13.3
Andalucía,    10. TrÃ¡fico de drogas,1124.0,1047.0,-6.9
Andalucía,    11. Resto de criminalidad convencional,45582.0,45292.0,-0.6
Andalucía,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),17745.0,21604.0,21.7
Andalucía,    12.-Estafas informÃ¡ticas,15705.0,19064.0,21.4
Andalucía,    13.-Otros ciberdelitos,2040.0,2540.0,24.5
Andalucía,    III. TOTAL INFRACCIONES PENALES,97406.0,99413.0,2.1
Provincia de Almería,    I. CRIMINALIDAD CONVENCIONAL,6556.0,6652.0,1.5
Provincia de Almería,    1. Homicidios dolosos y asesinatos consumados,2.0,6.0,200.0
Provincia de Almería,    2. Homicidios dolosos y asesinatos en grado tentativa,7.0,1.0,-85.7
Provincia de Almería,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,117.0,125.0,6.8
Provincia de Almería,    4. Secuestro,1.0,1.0,0.0
Provincia de Almería,    5. Delitos contra la libertad sexual,73.0,80.0,9.6
Provincia de Almería,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,13.0,19.0,46.2
Provincia de Almería,    5.2.-Resto de delitos contra la libertad sexual,60.0,61.0,1.7
Provincia de Almería,    6. Robos con violencia e intimidaciÃ³n,129.0,157.0,21.7
Provincia de Almería,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,503.0,463.0
Provincia de Almería,    7.1.-Robos con fuerza en domicilios,397.0,367.0,-7.6
Provincia de Almería,    8. Hurtos,1398.0,1463.0,4.6
Provincia de Almería,    9. Sustracciones de vehÃ­culos,89.0,82.0,-7.9
Provincia de Almería,    10. TrÃ¡fico de drogas,112.0,124.0,10.7
Provincia de Almería,    11. Resto de criminalidad convencional,4125.0,4150.0,0.6
Provincia de Almería,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1013.0,1420.0,40.2
Provincia de Almería,    12.-Estafas informÃ¡ticas,899.0,1260.0,40.2
Provincia de Almería,    13.-Otros ciberdelitos,114.0,160.0,40.4
Provincia de Almería,    III. TOTAL INFRACCIONES PENALES,7569.0,8072.0,6.6
Adra,    I. CRIMINALIDAD CONVENCIONAL,232.0,225.0,-3.0
Adra,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
Adra,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
Adra,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,2.0,1.0,-50.0
Adra,    4. Secuestro,0.0,0.0,0.0
Adra,    5. Delitos contra la libertad sexual,2.0,1.0,-50.0
Adra,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,0.0,0.0,0.0
Adra,    5.2.-Resto de delitos contra la libertad sexual,2.0,1.0,-50.0
Adra,    6. Robos con violencia e intimidaciÃ³n,3.0,2.0,-33.3
Adra,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,14.0,16.0
Adra,    7.1.-Robos con fuerza en domicilios,13.0,14.0,7.7
Adra,    8. Hurtos,42.0,66.0,57.1
Adra,    9. Sustracciones de vehÃ­culos,1.0,3.0,200.0
Adra,    10. TrÃ¡fico de drogas,6.0,3.0,-50.0
Adra,    11. Resto de criminalidad convencional,162.0,133.0,-17.9
Adra,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),21.0,37.0,76.2
Adra,    12.-Estafas informÃ¡ticas,19.0,30.0,57.9
Adra,    13.-Otros ciberdelitos,2.0,7.0,250.0
Adra,    III. TOTAL INFRACCIONES PENALES,253.0,262.0,3.6
Almería,    I. CRIMINALIDAD CONVENCIONAL,1766.0,1822.0,3.2
Almería,    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
Almería,    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,0.0,-100.0
Almería,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,22.0,29.0,31.8
Almería,    4. Secuestro,1.0,0.0,-100.0
Almería,    5. Delitos contra la libertad sexual,26.0,26.0,0.0
Almería,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,5.0,7.0,40.0
Almería,    5.2.-Resto de delitos contra la libertad sexual,21.0,19.0,-9.5
Almería,    6. Robos con violencia e intimidaciÃ³n,43.0,66.0,53.5
Almería,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,94.0,75.0
Almería,    7.1.-Robos con fuerza en domicilios,72.0,56.0,-22.2
Almería,    8. Hurtos,472.0,540.0,14.4
Almería,    9. Sustracciones de vehÃ­culos,39.0,32.0,-17.9
Almería,    10. TrÃ¡fico de drogas,47.0,47.0,0.0
Almería,    11. Resto de criminalidad convencional,1020.0,1006.0,-1.4
Almería,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),328.0,495.0,50.9
Almería,    12.-Estafas informÃ¡ticas,299.0,463.0,54.8
Almería,    13.-Otros ciberdelitos,29.0,32.0,10.3
Almería,    III. TOTAL INFRACCIONES PENALES,2094.0,2317.0,10.6
El Ejido,    I. CRIMINALIDAD CONVENCIONAL,904.0,870.0,-3.8
El Ejido,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
El Ejido,    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0
El Ejido,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,24.0,17.0,-29.2
El Ejido,    4. Secuestro,0.0,0.0,0.0
El Ejido,    5. Delitos contra la libertad sexual,7.0,9.0,28.6
El Ejido,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,1.0,2.0,100.0
